question_num,length_score,word_overlap_score,rouge_l_score,bleu_score,bert_score_precision,bert_score_recall,bert_score_f1,jaccard_score,cosine_similarity,cosine_similarity_spacy,spacy_score,ragas_score_faithfulness,ragas_score_answer_relevancy,ragas_score_context_precision,ragas_score_context_recall,audience_type,experiment_name,chunksize,chunkoverlap
20,0.9587628865979382,0.30434782608695654,0.2146341463414634,0.0,0.5921982,0.58844876,0.59031755,0.16666666666666666,0.7911681,0.9725371599197388,0.0,0.75,0.0,0.99999999998,0.0,research,textsplitter,1000,200
3,0.33480176211453744,0.3389830508474576,0.13592233009708737,0.018848863729400617,0.49179423,0.5897324,0.5363289,0.11695906432748537,0.5185466,0.8228994011878967,0.0,0.6666666666666666,0.8680621132356419,0.99999999998,0.0,research,textsplitter,1000,200
51,0.7787610619469026,0.328125,0.2200956937799043,0.057714590201823755,0.57438785,0.616298,0.5946054,0.16030534351145037,0.78281784,0.9847371578216553,0.0,0.5,0.0,0.99999999998,1.0,research,textsplitter,1000,200
46,0.8692307692307693,0.2857142857142857,0.2248995983935743,0.05269528154671363,0.5946349,0.69621545,0.6414283,0.15,0.7300216,0.943235456943512,0.0,0.8,0.9721866366080136,0.99999999998,1.0,research,textsplitter,1000,200
41,0.6698113207547169,0.29411764705882354,0.1452513966480447,0.0,0.63423705,0.63565814,0.6349468,0.20491803278688525,0.62901056,0.9794943332672119,0.0,0.6,0.0,0.8666666666377778,1.0,research,textsplitter,1000,200
24,0.5777777777777777,0.3170731707317073,0.1917808219178082,0.0,0.53999525,0.6028452,0.5696921,0.13402061855670103,0.78502023,0.9570773839950562,0.0,0.6,0.0,0.8666666666377778,0.0,research,textsplitter,1000,200
19,0.6410256410256411,0.2413793103448276,0.19607843137254902,0.0,0.52766323,0.61486983,0.5679384,0.09859154929577464,0.45856297,0.9501386284828186,0.0,0.5,0.0,0.8041666666465626,1.0,research,textsplitter,1000,200
101,0.7834394904458599,0.45454545454545453,0.3040540540540541,0.11039581254686606,0.64965916,0.6822515,0.6655566,0.22151898734177214,0.83115155,0.9784091711044312,0.0,1.0,0.9727089188077084,0.99999999998,0.8333333333333334,research,textsplitter,1000,200
17,0.9381443298969072,0.36065573770491804,0.2631578947368421,0.0,0.5770694,0.63095176,0.6028089,0.19469026548672566,0.8106893,0.9753671288490295,0.0,0.6666666666666666,0.8049663760499386,0.99999999998,0.5,research,textsplitter,1000,200
80,0.8636363636363636,0.47540983606557374,0.29107981220657275,0.11588211324150993,0.6115509,0.6583687,0.63409686,0.2543859649122807,0.8534946,0.9864462614059448,0.0,0.7142857142857143,0.0,0.9999999999857143,1.0,research,textsplitter,1000,200
7,0.7802197802197802,0.3283582089552239,0.3370786516853933,0.16480157436057905,0.62380004,0.66294885,0.6427789,0.21359223300970873,0.77121866,0.9549547433853149,0.0,0.6,0.9289370445859024,0.99999999998,1.0,research,textsplitter,1000,200
108,0.918918918918919,0.4657534246575342,0.2790697674418604,0.1483348019731029,0.66714483,0.6917596,0.6792293,0.2833333333333333,0.88362145,0.9876343011856079,0.0,1.0,0.0,0.7248241657266674,1.0,research,textsplitter,1000,200
102,0.8515625,0.3333333333333333,0.2738589211618257,0.1063087365012126,0.5990679,0.6364387,0.61718816,0.17567567567567569,0.76409984,0.9734744429588318,0.0,1.0,0.7933601687683705,0.9484126983968916,1.0,research,textsplitter,1000,200
39,0.627906976744186,0.45614035087719296,0.3004694835680751,0.1122153447008944,0.5986367,0.6426368,0.61985695,0.23008849557522124,0.868867,0.9762664437294006,0.0,1.0,0.9694067642981403,0.99999999998,1.0,research,textsplitter,1000,200
43,0.6356589147286822,0.3018867924528302,0.2119815668202765,0.06450015977840487,0.58836496,0.62152976,0.60449284,0.12403100775193798,0.63302994,0.972804605960846,0.0,0.75,0.9621243074912124,0.99999999998,1.0,research,textsplitter,1000,200
47,0.5886075949367089,0.25675675675675674,0.13284132841328414,0.0,0.5365288,0.61731976,0.5740958,0.11176470588235295,0.6374686,0.936206579208374,0.0,0.6666666666666666,0.8748896465332416,0.6791666666496875,0.2,research,textsplitter,1000,200
54,0.9900990099009901,0.3,0.2463054187192118,0.0,0.6240029,0.6332139,0.62857467,0.1590909090909091,0.62505513,0.9716190099716187,0.0,0.75,0.0,0.9999999999888889,0.5,research,textsplitter,1000,200
1,0.8282828282828283,0.3972602739726027,0.27225130890052357,0.1441130010008744,0.64535296,0.6298069,0.63748515,0.24786324786324787,0.76749134,0.9692786931991577,0.0,0.5714285714285714,1.0000000000000004,0.817857142843512,1.0,research,textsplitter,1000,200
107,0.7052631578947368,0.375,0.23952095808383236,0.06155180129148554,0.63297343,0.6602963,0.6463463,0.19626168224299065,0.880877,0.982642412185669,0.0,0.6,0.9231916937589485,0.6220935314607552,1.0,research,textsplitter,1000,200
18,0.8829787234042553,0.3387096774193548,0.26666666666666666,0.10613908394324427,0.6512467,0.6912246,0.67064035,0.18584070796460178,0.64489305,0.9761238098144531,0.0,0.6,0.0,0.8666666666377778,1.0,research,textsplitter,1000,200
64,0.8717948717948718,0.3333333333333333,0.1940928270042194,0.06089291861115071,0.57250804,0.56125295,0.5668246,0.16923076923076924,0.8228593,0.952942967414856,0.0,1.0,0.0,0.4777777777618519,0.8,research,textsplitter,1000,200
60,0.9473684210526315,0.2857142857142857,0.1724137931034483,0.07045790515884834,0.57282186,0.60463,0.5882963,0.15789473684210525,0.6884357,0.973277747631073,0.0,0.7,0.0,0.99999999998,1.0,research,textsplitter,1000,200
63,0.6356589147286822,0.4375,0.23255813953488372,0.0770398853867144,0.65913963,0.7329489,0.69408756,0.20437956204379562,0.85372007,0.9802163243293762,0.0,0.75,0.955839867345813,0.99999999998,1.0,research,textsplitter,1000,200
50,0.47,0.36923076923076925,0.20805369127516782,0.0324673549094319,0.5769548,0.66367066,0.61728215,0.12972972972972974,0.6489718,0.9736166596412659,0.0,0.45454545454545453,0.8805993532446833,0.99999999998,0.75,research,textsplitter,1000,200
38,0.8095238095238095,0.3870967741935484,0.29896907216494845,0.1360507980346133,0.58172977,0.6305808,0.605171,0.20869565217391303,0.64458823,0.9580093026161194,0.0,0.625,0.9651829850431047,0.99999999998,1.0,research,textsplitter,1000,200
20,0.9139784946236559,0.2028985507246377,0.18652849740932645,0.0,0.59182465,0.55554473,0.5731111,0.1111111111111111,0.7422826,0.9685869216918945,0.0,0.8,0.9044419095918698,0.6791666666496875,0.0,research,textsplitter,1500,150
3,0.3392857142857143,0.3220338983050847,0.13924050632911392,0.0,0.52231985,0.61957246,0.5668047,0.09844559585492228,0.48438504,0.86213618516922,0.0,0.8181818181818182,0.7894565195006448,0.94999999997625,0.0,research,textsplitter,1500,150
51,0.6717557251908397,0.375,0.17699115044247787,0.044853065366080296,0.5677197,0.6263146,0.5955794,0.15894039735099338,0.68298876,0.9819804430007935,0.0,0.6,0.8428373757868076,0.99999999998,1.0,research,textsplitter,1500,150
46,0.7533333333333333,0.38095238095238093,0.23048327137546468,0.10829153515550638,0.586973,0.69914186,0.638166,0.19631901840490798,0.746886,0.930880069732666,0.0,0.75,0.9869450126251951,0.99999999998,1.0,research,textsplitter,1500,150
41,0.7737226277372263,0.4,0.25203252032520324,0.12391659909628383,0.6678789,0.70149004,0.684272,0.2085889570552147,0.7504147,0.9818199872970581,0.0,0.1111111111111111,0.0,0.999999999975,1.0,research,textsplitter,1500,150
24,0.5591397849462365,0.2926829268292683,0.18543046357615894,0.0,0.5144631,0.58826476,0.5488943,0.11214953271028037,0.7616275,0.9141207337379456,0.0,0.8,0.0,0.94999999997625,0.0,research,textsplitter,1500,150
19,0.8620689655172413,0.3103448275862069,0.23121387283236994,0.09973730574129358,0.5579892,0.6128185,0.58412004,0.16071428571428573,0.6106295,0.9551008939743042,0.0,0.6,0.0,0.6388888888675925,0.6666666666666666,research,textsplitter,1500,150
101,0.7454545454545455,0.36363636363636365,0.21926910299003324,0.0,0.60818636,0.62480134,0.61638194,0.15300546448087432,0.8398682,0.9572131037712097,0.0,0.8333333333333334,0.956670325801729,0.99999999998,0.8333333333333334,research,textsplitter,1500,150
17,0.8272727272727273,0.32786885245901637,0.25242718446601936,0.04881530990511294,0.5526908,0.5978459,0.57438225,0.16260162601626016,0.7204156,0.9673590660095215,0.0,1.0,0.918414253054751,0.99999999998,0.5,research,textsplitter,1500,150
80,0.7263157894736842,0.39344262295081966,0.29239766081871343,0.11989124487695196,0.68952984,0.6881585,0.6888434,0.2608695652173913,0.88587666,0.9824720025062561,0.0,1.0,0.9544842852027567,0.9999999999857143,1.0,research,textsplitter,1500,150
7,0.8021978021978022,0.31343283582089554,0.3448275862068966,0.15271639912790366,0.6493124,0.6726073,0.66075456,0.20588235294117646,0.7983774,0.9587578773498535,0.0,0.2,0.9425240011173285,0.99999999998,1.0,research,textsplitter,1500,150
108,0.74,0.3835616438356164,0.1875,0.04339166512789324,0.50975287,0.6546931,0.57320255,0.17834394904458598,0.6939924,0.9289839863777161,0.0,1.0,0.9377383514333893,0.7459134882154427,1.0,research,textsplitter,1500,150
102,0.7841726618705036,0.5384615384615384,0.3700787401574803,0.18954277208495518,0.6600368,0.73408556,0.69509465,0.302158273381295,0.86380947,0.9810513854026794,0.0,1.0,0.9327708025353899,0.9484126983968916,1.0,research,textsplitter,1500,150
39,0.8804347826086957,0.3508771929824561,0.2727272727272727,0.0,0.5522315,0.6136607,0.58132786,0.18518518518518517,0.75746685,0.9593102931976318,0.0,0.75,0.8967254093079698,0.99999999998,1.0,research,textsplitter,1500,150
43,0.6833333333333333,0.20754716981132076,0.18779342723004694,0.043765031484207635,0.5371959,0.5870392,0.5610126,0.08527131782945736,0.5573453,0.9332430362701416,0.0,0.5,0.9081778962642297,0.99999999998,1.0,research,textsplitter,1500,150
47,0.510989010989011,0.35135135135135137,0.16666666666666669,0.03203123401168808,0.49924368,0.6193044,0.5528306,0.1326530612244898,0.6494694,0.9602428674697876,0.0,1.0,0.9484933652733991,0.8666666666377778,0.6,research,textsplitter,1500,150
54,0.8015873015873016,0.3,0.16666666666666669,0.04122405160188008,0.6114172,0.6467993,0.62861073,0.13725490196078433,0.7176018,0.9732359647750854,0.0,0.8,0.8066915983125721,0.9999999999888889,0.25,research,textsplitter,1500,150
1,0.7674418604651163,0.5342465753424658,0.3524590163934426,0.17650236613958004,0.69701004,0.7355602,0.7157664,0.3,0.8764391,0.990492582321167,0.0,0.6666666666666666,1.0000000000000004,0.729523809509219,1.0,research,textsplitter,1500,150
107,0.9571428571428572,0.3392857142857143,0.2978723404255319,0.07609526692715526,0.6635257,0.65602994,0.65975654,0.19791666666666666,0.84679234,0.979668915271759,0.0,0.5,0.9197253866131508,0.9805194805105668,1.0,research,textsplitter,1500,150
18,0.7094017094017094,0.2903225806451613,0.23414634146341465,0.06890946647970697,0.61568856,0.68805474,0.64986324,0.13138686131386862,0.71611243,0.9735044240951538,0.0,0.2,0.8768753084988715,0.9999999999666667,1.0,research,textsplitter,1500,150
64,0.8290598290598291,0.42424242424242425,0.303030303030303,0.11201316771897706,0.5729629,0.5657302,0.5693236,0.2413793103448276,0.72259015,0.9711208343505859,0.0,0.4,0.0,0.6791666666496875,0.8,research,textsplitter,1500,150
60,0.5714285714285714,0.2976190476190476,0.17821782178217824,0.06293745901258409,0.58618426,0.62296104,0.6040134,0.13368983957219252,0.6632333,0.9771249294281006,0.0,0.9,0.8946692223090172,0.99999999998,1.0,research,textsplitter,1500,150
63,0.6074074074074074,0.375,0.247787610619469,0.09653526293521,0.58570075,0.7034528,0.639199,0.16901408450704225,0.8081075,0.9792110919952393,0.0,1.0,0.9640063217677578,0.99999999998,1.0,research,textsplitter,1500,150
50,0.5595238095238095,0.35384615384615387,0.20300751879699247,0.0748006626409947,0.5953165,0.67060745,0.630723,0.14556962025316456,0.651829,0.96913081407547,0.0,0.6,0.8478944123666253,0.99999999998,0.5,research,textsplitter,1500,150
38,0.8762886597938144,0.3870967741935484,0.2021276595744681,0.12571118784184218,0.60851526,0.62034476,0.614373,0.20168067226890757,0.6138808,0.9703830480575562,0.0,0.6666666666666666,0.9317217216297292,0.99999999998,1.0,research,textsplitter,1500,150
20,0.9393939393939394,0.3188405797101449,0.21256038647342995,0.0,0.581702,0.5707655,0.5761818,0.171875,0.7303021,0.9697787761688232,0.0,0.5714285714285714,0.0,0.99999999998,0.0,research,textsplitter,2000,200
3,0.3318777292576419,0.3559322033898305,0.14790996784565918,0.014167140315089758,0.54093695,0.62292486,0.57904315,0.11351351351351352,0.4150886,0.8790080547332764,0.0,1.0,0.9316323750876252,0.94999999997625,0.0,research,textsplitter,2000,200
51,0.44,0.484375,0.21404682274247497,0.06747039794191469,0.5539155,0.6710601,0.6068865,0.1751412429378531,0.6996193,0.9796150922775269,0.0,0.8461538461538461,0.9380083266149923,0.99999999998,1.0,research,textsplitter,2000,200
46,0.6807228915662651,0.34523809523809523,0.21527777777777776,0.09475481439387919,0.58671236,0.7095567,0.6423137,0.16477272727272727,0.7214782,0.9396840929985046,0.0,0.6666666666666666,0.9869450126251951,0.99999999998,1.0,research,textsplitter,2000,200
41,0.7794117647058824,0.38823529411764707,0.22131147540983603,0.08687859308816799,0.65177727,0.6867486,0.6688061,0.19879518072289157,0.73506176,0.9701147079467773,0.0,0.2222222222222222,0.0,0.999999999975,1.0,research,textsplitter,2000,200
24,0.5360824742268041,0.4146341463414634,0.20382165605095542,0.0,0.5251056,0.6219633,0.56944513,0.15315315315315314,0.7377063,0.9154801964759827,0.0,0.6666666666666666,0.0,0.9999999999666667,0.0,research,textsplitter,2000,200
19,0.6578947368421053,0.3620689655172414,0.16243654822335027,0.0,0.57419324,0.6281197,0.59994715,0.168,0.4560015,0.9479163885116577,0.0,1.0,0.801922884449251,0.6999999999766667,1.0,research,textsplitter,2000,200
101,0.8482758620689655,0.44155844155844154,0.3028169014084507,0.08146516130993717,0.637431,0.65048456,0.6438917,0.21656050955414013,0.8506284,0.9619870781898499,0.0,0.875,0.9727089188077082,0.99999999998,0.8333333333333334,research,textsplitter,2000,200
17,0.9191919191919192,0.3442622950819672,0.22797927461139894,0.05352812402469267,0.56292427,0.6209647,0.59052175,0.17355371900826447,0.74534357,0.9620214104652405,0.0,1.0,0.9175941513485742,0.99999999998,0.5,research,textsplitter,2000,200
80,0.7037037037037037,0.5081967213114754,0.35000000000000003,0.09575442663449847,0.6403416,0.7150794,0.67564994,0.22962962962962963,0.8875505,0.9826131463050842,0.0,0.8333333333333334,0.9359539290600981,0.9999999999875,1.0,research,textsplitter,2000,200
7,0.3626373626373626,0.26865671641791045,0.34108527131782945,0.05572517318091047,0.77462184,0.65059745,0.7072132,0.22784810126582278,0.8323004,0.9610741138458252,0.0,0.3333333333333333,0.935990648391447,0.99999999998,1.0,research,textsplitter,2000,200
108,0.7928571428571428,0.4794520547945205,0.2890625,0.11955470593687208,0.6854742,0.72724247,0.70574087,0.25547445255474455,0.83608216,0.9827419519424438,0.0,0.875,0.9507861310043859,0.7459134882154427,1.0,research,textsplitter,2000,200
102,0.7622377622377622,0.34615384615384615,0.28571428571428575,0.10146866421614766,0.6071516,0.6648805,0.6347061,0.16875,0.7806047,0.980035662651062,0.0,1.0,0.9564993235854471,0.99999999998,1.0,research,textsplitter,2000,200
39,0.9,0.40350877192982454,0.30057803468208094,0.0,0.6162729,0.6483705,0.6319144,0.22772277227722773,0.8750877,0.9748462438583374,0.0,0.2,0.9287222608667697,0.99999999998,0.6666666666666666,research,textsplitter,2000,200
43,0.9647058823529412,0.2641509433962264,0.2413793103448276,0.08873009517376611,0.5892297,0.60092825,0.5950215,0.1308411214953271,0.5601943,0.96326744556427,0.0,0.8,0.8056337484956225,0.99999999998,0.3333333333333333,research,textsplitter,2000,200
47,0.5,0.35135135135135137,0.14840989399293286,0.0,0.5559109,0.6137459,0.5833986,0.13471502590673576,0.7193573,0.9796006083488464,0.0,0.5,0.9369644432806711,0.99999999998,1.0,research,textsplitter,2000,200
54,0.9619047619047619,0.2571428571428571,0.2488038277511962,0.0,0.61985385,0.63783556,0.6287161,0.13740458015267176,0.7469622,0.9786328673362732,0.0,0.5,0.0,0.999999999990909,1.0,research,textsplitter,2000,200
1,1.0,0.5068493150684932,0.3791469194312796,0.18732366047514123,0.7053515,0.72444016,0.7147684,0.3135593220338983,0.8833579,0.987022340297699,0.0,0.6666666666666666,0.9284415479905536,0.729523809509219,1.0,research,textsplitter,2000,200
107,0.9436619718309859,0.3392857142857143,0.32167832167832167,0.11673399760820216,0.6536606,0.6595003,0.65656745,0.2,0.7993908,0.9765224456787109,0.2,0.6,0.0,0.8397973500467695,0.5,research,textsplitter,2000,200
18,0.9540229885057471,0.3064516129032258,0.2222222222222222,0.07893772602771186,0.66735226,0.69875944,0.6826948,0.16101694915254236,0.7331439,0.9813552498817444,0.0,0.0,0.0,0.6388888888675925,1.0,research,textsplitter,2000,200
64,0.8803418803418803,0.3939393939393939,0.3037974683544304,0.10906320703862828,0.5975505,0.5725866,0.5848022,0.208,0.80507445,0.9699476361274719,0.0,1.0,0.0,0.4777777777618519,0.8,research,textsplitter,2000,200
60,0.8571428571428571,0.2857142857142857,0.20338983050847456,0.08077995294026238,0.64293516,0.64894223,0.64592475,0.1518987341772152,0.72075677,0.9757402539253235,0.0,0.5714285714285714,0.8805741880007897,0.99999999998,1.0,research,textsplitter,2000,200
63,0.6165413533834586,0.46875,0.27149321266968324,0.12276630488192987,0.63485765,0.72365427,0.676354,0.21739130434782608,0.8839214,0.9844458103179932,0.0,0.8571428571428571,0.9536426681731748,0.99999999998,1.0,research,textsplitter,2000,200
50,0.5987261146496815,0.36923076923076925,0.24806201550387597,0.08203730335890282,0.63048005,0.68941087,0.6586299,0.15789473684210525,0.6433304,0.9825378656387329,0.0,1.0,0.858606199328002,0.99999999998,0.5,research,textsplitter,2000,200
38,0.53125,0.46774193548387094,0.24800000000000003,0.10683797922732342,0.5599898,0.6384724,0.59666127,0.2,0.5971929,0.9674619436264038,0.0,0.5,0.9912280639911764,0.99999999998,0.25,research,textsplitter,2000,200
