pod_id,pod_name,pod_asset_class_focus,pod_geo_focus,pod_inception_date
GSEMCBI LX,GS EMRG MRKT CORP BD PT IA,Fixed Income,Global,5/17/2011
AUDHYBI LX,AXA WF-US DYN HIGH YLD BD-I,Fixed Income,U.S.,1/15/2014
SPY US,SPDR S&P 500 ETF TRUST,Equity,U.S.,1/22/1993
WSEEAUH ID,WELL STRAT EUR EQ-S EUR AC,Equity,European Region,12/15/2011
QLEIX US,AQR LONG-SHORT EQUITY-I,Alternative,U.S.,7/16/2013
JHQAX US,JPMORGAN HEDGED EQUITY-A,Alternative,U.S.,12/13/2013
JPMUUDA LX,JPM US SEL EQ PLS-A DIS USD,Equity,U.S.,8/9/2007
BDMAX US,BR GLOB EQ MARK NEUTRAL F-A,Alternative,Global,12/20/2012
MEDMORL ID,MEDIOLANUM-MORGAN STAN GLB-L,Alternative,Global,3/25/2008
FTLS US,FIRST TRUST LONG/SHORT EQTY,Alternative,Global,9/9/2014
DIAMX US,DIAMOND HILL LONG/SHORT-INV,Alternative,U.S.,6/30/2000
ASLAX US,AB SEL US LNG/SHRT-A,Alternative,U.S.,12/13/2012
GARUKAI LN,JAN HND  ABSLT RET FD-I ACC,Alternative,U.K.,4/14/2009
GDMYX US,GUIDESTONE DEF MKT STRAT-INS,Equity,U.S.,9/1/2011
EXCRISA LX,EXANE  2- PLEIADE FND-A,Alternative,European Region,5/30/2011
CPLSX US,CALAMOS PHINEUS LNG SHRT-A,Alternative,U.S.,5/1/2002
LANSVRG SS,LANNEBO SVERIGE PLUS,Alternative,Sweden,12/11/2008
BGTFDLX LX,LUX IM-PICTET FUT TRE-DXL EA,Alternative,Global,10/31/2014
FFAAYAU LX,FIDELITY FDS-ASIA P OP-YAUSD,Equity,Asian Pacific Region ex Japan,10/8/2014
0431214C JP,DAIWA JP EQ NEW GRWTH D SMA,Equity,Japan,12/5/2014
GUGYGBA ID,GUINNESS GLOBAL EQ INC-YGBPA,Equity,Global,3/6/2015
PIMGHYB ID,PIMCO-GLB H/Y BOND-E-ACC,Fixed Income,Global,9/11/2006
